ビッグマッキントッシュ,マイリトルポニー 〜トモダチは魔法〜
ガゼフ・ストロノーフ,オーバーロード(アニメ)
フィニック,ズートピア
栗霰串丸,NARUTO
近藤勇誠,東のエデン
