地獄の業火,迷家-マヨイガ-
風祭将,ホイッスル!(2016年配信版)
越山識,ナナマルサンバツ
桧山一翔,12歳。～ちっちゃなムネのトキメキ～
アスタ,ブラッククローバー(ジャンプスペシャルアニメフェスタ2016版)
ナビモン,デジモンユニバースアプリモンスターズ
朱雀(妖怪ウォッチ),妖怪ウォッチシャドウサイド
寝住,十二大戦
香澄朝陽,アイカツスターズ!
