矢田桃花,暗殺教室(ｼﾞｬﾝﾌﾟｽｰﾊﾟｰｱﾆﾒﾂｱｰ2013版)
飯塚ゆず,桜Trick
キーたん,えとたま
田中英史,ブレイブビーツ
アマナ,HUNTER×HUNTER(2011年版)
篠田はじめ,NEWGAME!
十束真莉亜,sin 七つの大罪
"",""
"",""
