高見伊知郎,アイシールド21
滝川法生,ゴーストハント
パトリック・コーラサワー,機動戦士ガンダム00
木吉鉄平,黒子のバスケ
御法川実（画像右）,CANAAN
ヒュウガ,07-GHOST
四十万縁,花咲くいろは
仲沢呂佳,おおきく振りかぶって～夏の大会編～
河童の川端くん,波打際のむろみさん
切札勝利,デュエル・マスターズ
エリファス,遊☆戯☆王ZEXALII
ヴァトー・ファルマン,鋼の錬金術師FA
東春秋,ワールドトリガー
多尾努,モンキーターン
マダムモメール,ハピネスチャージプリキュア!
野宮匠,ハチミツとクローバー
小泉譲二,ParadiseKiss
久瀬修一（画像左）,ef - a tale of melodies.
デュック,バトルスピリッツブレイヴ
北大路斎,銀魂
魔乳胸幸,魔乳秘剣帖
ハリー・マクドゥエル,GUNGRAVE
片桐安十郎,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
ダーナイト,ガイストクラッシャー
氷輪丸,BLEACH 斬魄刀異聞篇
ダフ,claymore
"",""
