ジェリー,トムとジェリー(TBS版)
一休,一休さん
マライヒ,パタリロ!
来生泪,キャッツ・アイ＊1
マミヤ,北斗の拳
キテレツ（木手英一）（画像右）,キテレツ大百科
ピア・マルコ,新ビックリマン
ダイ,ダイの大冒険/ジャンプフォース
アルフレド,ロミオの青い空
立野広（画像右）,地獄先生ぬ～べ～
八神太一,デジモンアドベンチャー
ゾフィス,金色のガッシュベル!!
月影千草,ガラスの仮面(2005年版)
ぼのぼの,ぼのぼの（初代映画版）
写楽保介,三つ目がとおる（単発アニメ版）
シュザンナ・フォン・ベーネミュンデ,銀河英雄伝説
エリス,聖闘士星矢 邪神エリス(映画)
レディ,わんわん物語
鞍馬テン坊/鞍馬テン丸※,ベムベムハンターこてんぐテン丸
ビッグ・マム(シャーロット・リンリン)〈初代〉,ONEPIECE＊2
ヘスター・ギャロップ〈初代〉,蒼穹のファフナー＊3
ポリー・バケッツ,Dr.スランプ
コッキィ,コアラボーイ・コッキィ
ドリモグ,ドリモグだァ!!
宮内妙子,ちはやふる
ラリー・シャイアン,サイレントメビウス
堀口元気,がんばれ元気
