上岡由佳里,乙女はお姉さまに恋してる
マコ,練馬大根ブラザーズ
リゼット・ヴェルトール/リーゼロッテ・ヴェルクマイスター,11eyes
マモン,うみねこのなく頃に
ワタナベ・カナコ／頭取,STARDRIVER輝きのタクト
ダウンズ,アズールレーン
クレイヴン,アズールレーン
