ジョディ・スターリング (ジョディ・サンテミリオン),名探偵コナン
ジョディ・ロックウェル,YAWARA!
マージ・シンプソン,ザ・シンプソンズ
クルエラ,101匹わんちゃん
ジェシカ・ラビット,ロジャー・ラビット
錦織つばさ,真マジンガー
クラリス,ディズニー
星の女神(ブルー・フェアリー),ピノキオ(ディズニー映画)
"",""
