パシリ1号/スピードマン,とっても!ラッキーマン
前野,行け!稲中卓球部
飛鳥大貴〈アスカJr.〉,怪盗セイント・テール
山田利吉,忍たま乱太郎(第3シリーズ以降)
花菱烈火,烈火の炎
中村賢太,頭文字D
高里要,十二国記
班渠,十二国記
八島様,かみちゅ!
アルビトロ,咎狗の血
鴉取真弘,緋色の欠片
修羅,ふしぎ遊戯 玄武開伝
ゲラ=ハ,ロマンシングサガ ミンストレルソング
須賀沼大,黄金勇者ゴルドラン
箱二郎、ほか,天才ビットくん
アクア,ジュエルペットきら☆デコっ！、ジュエルペットハッピネス
ホットロッド,超ロボット生命体トランスフォーマー マイクロン伝説
キャメラモン,デジモンユニバースアプリモンスターズ
ロミオ,サイボーグクロちゃん
