モモ,うちのタマ知りませんか?
獅堂光,魔法騎士レイアース
天上院桂,YAT安心!宇宙旅行
エリシス,ヱデンズボゥイ
甲斐童夢,無敵王トライゼノン
山童,地獄少女
パステル,ツインビー
初瀬野アルファ,ヨコハマ買い出し紀行
サニア,アークザラッド2
ソン・ミナ,ソウルエッジ
セレスティア・ルーデンベルク,ダンガンロンパ
遙華,ドリームクラブ
蝶野亜美,ガールズ&パンツァー
轟ネネ,生徒会役員共
上月由香,ケモノヅメ
テイルス,ソニック・ザ・ヘッジホッグ(OVA)
リファニー,ラングリッサーⅢ
善子ママ,ラブライブ!サンシャイン!!
