アキ,ガールズ&パンツァー劇場版
宮前透,セイレン
アメリカビーバー,けものフレンズ(アニメ版)
ミコチ,ハクメイとミコチ
ラナー王女,異世界食堂
アレク,多田くんは恋をしない
