松永燕,真剣で私に恋しなさい!!
牧野かんな,たまこまーけっと
水原一香,お姉ちゃんが来た
小瀬川白望,咲-Saki-
七宮智音,中二病でも恋がしたい!戀
アン,selector spread WIXOSS
三好夏凜,結城友奈は勇者である
沙沙貴苺＆林檎,FLOWERS
銭形小桜,断裁分離のクライムエッジ
姫川ハユル,魔装学園H×H
猿渡真都,おくさまが生徒会長!
能家葉月,こえでおしごと!
アバークロンビー,アズールレーン
エターナル・フレイム,ミリオンアーサー
エンドロール,ブレイブソード×ブレイズソウル
クウカ/遠見空花,プリンセスコネクト!
我妻恋,オルタナティブガールズ
