パルモン,デジモンフロンティア
ガブ（2代目）,古代王者 恐竜キング Dキッズ・アドベンチャー 翼竜伝説
ダイ（右側）,ひめチェン!おとぎちっくアイドル リルぷりっ
島田貴子（左側）,SKET DANCE
ヨーデル,デュエル・マスターズ ビクトリー
緑山メイ,デュエル・マスターズ ビクトリーV
