瀧エリ,けいおん!
虻川,みつどもえ
ハルナ,蒼き鋼のアルペジオ -アルス・ノヴァ-
鬼屋敷さくら※,暗殺教室
天ノ川きらら/キュアトゥインクル,Go!プリンセスプリキュア
阿朱羅丸,終わりのセラフ
園崎法子,キズナイーバー
萩生響,あんハピ♪
キクリ〈秘女王〉,アラタ カンガタリ〜革神語〜
日下生美桜,競女!!!!!!!!
中山ひなこ,喧嘩番長乙女
蝶野ひかり,ヒミツのここたま
ニーナ・アレクサンドロヴナ,ひなろじfrom Luck&Logic
魔女アニエス,ゲゲゲの鬼太郎（6期）
ジェラルディン・ロイヤー,レイトン ミステリー探偵社 〜カトリーのナゾトキファイル〜
