サム・ギデオン,VANQUISH
ジェイ先輩,NARUTO
仁霧コブシ,バトルスピリッツ覇王※1
バトー,攻殻機動隊ARISE
柘植竜二,新テニスの王子様
ドノヴァン,ジョジョの奇妙な冒険
ラファエロ,ミュータントタートルズ
ボス,真マジンガー衝撃!Z編
西園寺貴仁,トミカハイパーレスキュードライブヘッド~機動救急警察~
陸(犬の方),再アニメ版キノの旅※2
"",""
"",""
