九重クレア,帰宅部活動記録
クラッカ・グリフォン（右）,機動戦士ガンダム鉄血のオルフェンズ
無名,甲鉄城のカバネリ
烏丸千歳,ガーリッシュナンバー
愛ヶ咲小花,マジきゅんっ!ルネッサンス
七瀬萌里菜,ピアシェ～私のイタリアン～
阿久津瑠璃,アホガール
上井草有栖（右側）,アニメガタリズ
シュナ,転生したらスライムだった件
トリッシュ・ウナ,ジョジョの奇妙な冒険 黄金の風
