才凛,マギ
アロマ,Go!プリンセスプリキュア
天宮琴音/ウィンクビート,ブレイブビーツ
石本美希,石膏ボーイズ
ポコ,うどんの国の金色毛鞠
オルミーヌ,ドリフターズ
ユーリ・プリセツキー(幼少期),ユーリ!!!onICE
