薬師寺,メジャー
オボロ,うたわれるもの
銛之塚崇ほか,桜蘭高校ホスト部
バスティン,07-GHOST
杉江勇作,GIANTKILLING
ジュリアス・シーザー,メタルファイトベイブレード
港浦吾郎,バクマン。
マイク,motorcity
ジョウカエン,トミカヒーロー レスキューファイアー（画像左）
アンキロサウルスヤミー,仮面ライダーOOO
ブラックエクスプレッツ,のっけてエクスプレッツ
シルバーエクスプレッツ,のっけてエクスプレッツ
王富貴/王権富貴（画像）,縁結びの妖狐ちゃん
アーテンボロー,天元突破グレンラガン
