松田啓人,デジモンテイマーズ
筒井公宏,ヒカルの碁
アトム,ASTRO BOY 鉄腕アトム
セリム・ブラッドレイ,鋼の錬金術師(2003年版)
磯野ワカメ(3代目),サザエさん
留吉,いぬかみっ!
まこと,ストリートファイター
裏密ミサ,東京魔人學園(ゲーム)
織部雪乃,東京魔人學園(ゲーム)
織部雛乃,東京魔人學園(ゲーム)
エアリー,ブレイブリーデフォルト
ラチェット,ラチェット&クランクシリーズ
バンのすけ,かみさまみならい ヒミツのここたま
ネロ,フランダースの犬（劇場版）
柿ノ木レオ,アニメ版学校の怪談（画像の一番右の少年）
