ミン中尉,機動戦士ガンダム00
レイル・ライト,機動戦士ガンダムAGE
スドウ・シュンスケ,ガンダムビルドファイターズトライ
剣城京介,イナズマイレブンGO
クオース,イナズマイレブンGOクロノ・ストーン
ニセ剣城/マヌーバ・ギブツ,イナズマイレブンGOギャラクシー
須藤暁人,ちはやふる
エイザン・グリン,爆丸バトルブローラーズ ガンダリアンインベーダーズ
ヴィンサント,スナックワールド
