忍風カムイ外伝,カムイ
エースをねらえ!,宗方仁
ジャイアントロボ THEANIMATION（OVA）,白昼の残月
ジョジョの奇妙な冒険（OVA）,ンドゥール
ドラゴンボールZ（映画）,Dr.ウィロー
クレヨンしんちゃん（映画）,ミスターハブ＊１
名探偵コナン（映画）,小田切敏郎
ガッチャマンF,エゴボスラー＊2
