テム・レイ,機動戦士ガンダム
冬月コウゾウ,新世紀エヴァンゲリオン
ネメシス・ラ・アルゴール,不思議の海のナディア
ノーマン・バーグ,THEビッグオー
ウォルター・C・ドルネーズ,HELLSING
ヴァルケンハイン=R=ヘルシング,ブレイブルー
ティッピー,ご注文はうさぎですか?
ローゼス,ジョジョの奇妙な冒険スターダストクルセイダース
ヤナギ,ポケットモンスター
