天宮りずむ,プリティーリズム・オーロラドリーム
森合愛美,咲-Saki-(画像最下部の人物)
刑部蒔絵,蒼き鋼のアルペジオ -アルス・ノヴァ-
コン,いなり、こんこん、恋いろは。
浜名心愛,12歳。
秋内ハナ,ヒーローバンク
杉本鈴美,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
ルナ,この素晴らしい世界に祝福を!
大垣千明,ゆるキャン△
中沢早苗,キャプテン翼（2018年版）
