ミモリ,ケロケロちゃいむ
長岡志保,ToHeart
ビスケット=クルーガー,HUNTER×HUNTER(1999年版)
滝野智,あずまんが大王
椎名翼,ホイッスル!
沢井ジュリ,アイシールド21
綿貫響,ぱにぽにだっしゅ!
田中洋平,テニスの王子様
