キジャ(幼少期),暁のヨナ
中城椎菜,甘城ブリリアントパーク
坂木しずか、ルーシー,SHIROBAKO
春鳥つぐみ,ソウルイーターノット!
綺声神心音,アクエリオンロゴス
ミカエラ(幼少期),終わりのセラフ
シルヴィア・リューネハイム,学戦都市アスタリスク
小森はなえ,Go!プリンセスプリキュア
川島琥珀,響け!ユーフォニアム
瞳ララ,響け!ユーフォニアム
成島美代子,ハルチカ ～ハルタとチカは青春する～
力比べのファントム※片方,無彩限のファントム・ワールド
レイチェル・ガードナー,殺戮の天使
