雪村豹牙,イナズマイレブンGOシリーズ
稲本正明,ダイヤのA
火剣のドゥーベル,フューチャーカードバディファイト
未門陽太,フューチャーカードバディファイト
作並浩輔,ハイキュー!!
二岐丈春,ハイキュー!!
中野光輝,アニメガタリズ
"",pixivimage::s]
"",pixivimage::s]
