運子会長,ひめゴト
ハコネちゃん,温泉幼精ハコネちゃん
アライさん,けものフレンズ(アニメ版)
遠藤ユカ,BEATLESS
島津正宗,天華百剣-斬-
センちゃん,けものフレンズ(アニメ版)
