岩倉玲音,serial experiments lain
ブギーポップ/宮下藤花,ブギーポップは笑わない
高野晶,スクールランブル
二条乃梨子,マリア様がみてる
銀河久遠,極上生徒会
シグナム,魔法少女リリカルなのはシリーズ
神谷雪花,スケッチブックFULLcolor's
八重野撫子,ななついろ★ドロップス
田村ひより,らき☆すた
桜坂葉月,乃木坂春香の秘密
ラミア・ラヴレス,スーパーロボット大戦A
井藤ノノハ,ファイ・ブレイン
カヤ,アオイシロ
ゼニア・ヴァロフ,アルカナハート2
アシェン・ブレイデル,無限のフロンティア スーパーロボット大戦OGサーガ
リチア・スポデューン,テイルズオブハーツ
リシア・カトレイア,テイルズオブハーツ
ヴァッフェドルフィン,武装神姫
如月千早,アイドルマスターXENOGLOSSIA
亦野誠子,咲-Saki-
先代キュアトゥインクル/セイ,Go!プリンセスプリキュア
