月野うさぎ/セーラームーン,美少女戦士セーラームーンシリーズ ※1
ちびうさ/セーラーちびムーン/ブラックレディ,美少女戦士セーラームーンシリーズ
デーズィ,若草物語 ナンとジョー先生
夕城美朱,ふしぎ遊戯
ナツメ,ポケットモンスター
西川のり子,浦安鉄筋家族
小泉明,イケてる2人
篠崎愛,コレクター・ユイ
八神ヒカリ,デジモンアドベンチャーシリーズ ※2
パタモン,デジモンフロンティア
ジュジュ・クー・シュナムル,ドキドキ♡伝説 魔法陣グルグル ※3
エリュン・ガーネット,BRIGADOON まりんとメラン
王理,超獣伝説ゲシュタルト
"",""
"",""
