ユニ,家庭教師ヒットマンREBORN!
大沢マリア,CANAAN
泡浮万彬,とある科学の超電磁砲
工藤愛子,バカとテストと召喚獣
佐々かなこ,放浪息子
空琉美遊亭丸京,じょしらく
さくら,BabyPrincess
月読調,戦姫絶唱シンフォギアシリーズ
ミユキ,みなみけ
走り鳰,悪魔のリドル
柿沼小百合,Another
栗尾ねね,ペンギン娘♥はぁと
松坂花※,森田さんは無口。
斉藤結衣,ネトゲの嫁は女の子じゃないと思った?
"",""
