真瀬由子,咲-Saki-全国編
神長香子,悪魔のリドル
七瀬ゆい,Go!プリンセスプリキュア
椎原こはる,天体のメソッド
星野郷,スターマイン
安原絵麻,SHIROBAKO
火明うめの,ALLOUT!!
制服戦士ブレザーフリル,フューチャーカードバディファイト
棗ノノ,うらら迷路帖
