霊,じょしらく
綏子内親王,超訳百人一首うた恋い。
蝶野さなぎ,遊戯王ZEXALⅡ
ロア・ベリフェラル,勇者になれなかった俺はしぶしぶ就職を決意しました。
伊勢崎郁歩,ガールフレンド(仮)
