ハジャ,B-伝説!バトルビーダマン炎魂
牛島ゴン太,流星のロックマン
畠篤史,おおきく振りかぶって
エルマー・C・アルバトロス,BACCANO!
ディケ・ガンヘイル,機動戦士ガンダムAGE
ウットビット・ガンヘイル(画像左),機動戦士ガンダムAGE
岸川セイリュウ,ダンボール戦機ウォーズ
ドラムバンカー・ドラゴン,フューチャーカード バディファイト
