峨王力哉,アイシールド21
校倉必,刀語
ガリレオ,境界線上のホライゾン
戦部厳至,武装錬金
クロウ,うたわれるもの
ゲンスルー,HUNTER×HUNTER(1999年版OVA)
ディクソン,ゼノブレイド
シシガミ=バング,ブレイブルー
仮面ライダーオーディン,仮面ライダー龍騎
ジン,蟲師
オールドキング,ACfA
バガモンバグスター,仮面ライダーエグゼイド
獣の傭兵,ゼロから始める魔法の書
ハイルディン,ONEPIECE
バスティーユ,ONEPIECE
バジル,ドラゴンボール超
デレンセン・サマター,ガンダム Gのレコンギスタ
黙示録の第一騎士グラトス,フューチャーカードバディファイト
レオン・ガルシア・デ・アストゥリアス,トリニティ・ブラッド
豪剛雄,ゾンビランドサガ※画像左
"",""
