エイラ・イルマタル・ユーティライネン,ストライクウィッチーズ
沢村智紀,咲-Saki-
アデーレ・バルフェット,境界線上のホライゾン
宇佐美はじめ,だぶるじぇい
星野歩,星空へ架かる橋
鬼瀬針音,めだかボックス
あおい,放課後のプレアデス
おりょう,ガールズ&パンツァー
優木あんじゅ,ラブライブ!
青木百々,ハイスクール・フリート
桜小路ルナ,月に寄りそう乙女の作法 ～ひだまりの日々～
"",""
