うる野,だめっこどうぶつ
麻生蓮治,ef
ラキ,CLAYMORE
ジョナ・マツカ,地球へ…
瀬能壮太郎,ペルソナ〜トリニティ・ソウル〜
山本陣内(2代目),忍たま乱太郎
伊東守,新世界より
森・アーティ,探偵オペラミルキィホームズ
レア,聖闘士星矢Ω
由利鎌之介,BRAVE10
ヂートゥ,HUNTER×HUNTER※2011年版
香港,Axis powers ヘタリア
星名透,宇宙戦艦ヤマト2199
アイザック・モートン,魔界王子
