キッド/武者小路紫苑,アイシールド21
フランケン・シュタイン,ソウルイーター
二十面相,二十面相の娘
アルド・ナリス,グイン・サーガ
ルーファス=バルマ,PandoraHearts
松吉,さらい屋五葉
良岑宗貞,うた恋い。
ヘンドリクセン,七つの大罪(漫画)
校長,魔法つかいプリキュア!
シャーロット・ペロスペロー,ONEPIECE
