暁,おジャ魔女どれみシリーズ
クウ=エアハルト,デ・ジ・キャラット
キューブ,ぷちぷり*ユーシィ
大矢門斗,六門天外モンコレナイト
ソルト,ちっちゃな雪使いシュガー
ハシバ＝ヒナタ,熱風海陸ブシロード
ブラッチャールスター,電光超特急ヒカリアン
