アイリスのキバゴ,ポケットモンスター ベストウイッシュ
フリュネ,フラクタル-FRACTALE-
船見結衣,ゆるゆり
河住小太郎,妖狐×僕SS
岡橋初瀬,咲-Saki-阿知賀編episode of side-A
志々美かりん,プリティーリズム・ディアマイフューチャー
櫟井唯,ゆゆ式
尾ノ後きよみ,スマイルプリキュア
竹中椿,ロウきゅーぶ!（画像右）
白鳥ひめ,アイカツスターズ!
ささら,ファンタジスタドール
鬼姫,モモキュンソード
四月一日いおり,蒼き鋼のアルペジオ
先生,デンキ街の本屋さん
サーラマ,甘城ブリリアントパーク
ジャガー,けものフレンズ(アニメ版)
三隅倫,おくさまが生徒会長!
プロセルピナ,紅殻のパンドラ
ミクリ・マヤ,ID_0
ジーグさん,ロボットガールズZ
小早川杏奈,虹色デイズ
藍原芽衣,citrus
安藤,ガールズ&パンツァー 最終章
サリー,ブラッククローバー
吉川愛,"WakeUp,Girls!"
帆風潤子(縦ロール),とある科学の超電磁砲
編沢まゆ,こみっくがーるず
リザ,デスマーチからはじまる異世界狂想曲
カナリ,ガンダムビルドダイバーズ
