イ・グンテ,暁のヨナ
トウドウ議長,イナズマイレブンGO クロノ・ストーン
尚隆,十二国記
アルフェルド・ガーダイン,ダンボール戦機W
ケンタルモン,デジモンアドベンチャー
八尾,NARUTO
伊達英二,はじめの一歩
ミズケン,HUNTER×HUNTER（2011年版）
アオギリ,ポケットモンスター アドバンスジェネレーション
クチナシ,ポケットモンスター サン&ムーン
ゲーチス,ポケットモンスター ベストウイッシュ シーズン2 エピソードN
ゼスト・グランガイツ,魔法少女リリカルなのはStrikerS
イデオ,ONE PIECE
ワイパー,ONE PIECE
