村田健,今日からマ王！
土屋康太,バカとテストと召喚獣
ナタク,封神演義
羽柴青,好きなものは好きだからしょうがない!!
リズム,しゅごキャラ！
朱雀のレイ,セイント・ビースト
トラハムくん,とっとこハム太郎
キュービック・G,ファイ・ブレイン
ソララ王子,おねがい♪マイメロディ きららっ★
山田花太郎,BLEACH
似鳥愛一郎,Free!
ワダツミ,ONEPIECE
鎌谷光希,メガネブ!
ベリー,ルロロマニック
神崎左門,忍たま乱太郎
ピコデビモン,デジモンアドベンチャー
杉元照文,弱虫ペダル
アブマド・サルージャ,マギ
デリンジャー,ONEPIECE
一ノ宮勘太郎,tactics
吉永和己,吉永さん家のガーゴイル
ラブラドール,07-GHOST
キリク,エアギア
トビー,メタルファイトベイブレード
