今川ヨシモト,戦国乙女桃色パラドックス
甲斐姫,戦国☆パラダイス
神月アンナ,遊戯王ZEXAL
向井晶,超速変形ジャイロゼッター
姫鶴ひなた,XBLAZE
ゾンビーナ,モンスター娘のいる日常
