御園千綾,ローリング☆ガールズ
ウリたん,えとたま
三ノ輪銀,結城友奈は勇者である
梅本幸子,ダイヤのA
りっぷ/花咲ゆみり,リルリルフェアリル
リモ,ガラスの花と壊す世界
花小泉杏,あんハピ♪
天谷颯太(左),あいうら
ねむりん/三条合歓,魔法少女育成計画
旋風こより,灼熱の卓球娘
ゼロ※,ゼロから始める魔法の書
伊藤くろす(右),つうかあ
各務原なでしこ,ゆるキャン△
イビルアイ,オーバーロード
セト,RADIANT-ラディアン-
神戸あさひ,ハッピーシュガーライフ
井沢静江,転生したらスライムだった件
ミザ,東京喰種
早坂愛,かぐや様は告らせたい
ユウキ·ソレイユ,エガオノダイカ
