チャム・ファウ,聖戦士ダンバイン
ガウ・ハ・レッシィ,重戦機エルガイム
リリス・ファウ,重戦機エルガイム
ベルトーチカ・イルマ,機動戦士Ζガンダム以降
クェス・パラヤ,機動戦士ガンダム逆襲のシャア
フレア,聖闘士星矢
ウサ姫,キャッ党忍伝てやんでえ
タルト,十二戦支爆烈エトレンジャー
オーラ姫,十二戦支爆烈エトレンジャー
千唾馬宮,少女革命ウテナ
メルモ,ふしぎなメルモ(1998年版)
氷菜,幽☆遊☆白書
カンナ,ポケットモンスター
モミ,ポケットモンスター ダイヤモンド&パール
マコモ,ポケットモンスター ベストウイッシュ
白蛇のナーガ,スレイヤーズ(劇場版)
ラキシス,ファイブスター物語
イフリータ,神秘の世界エルハザード2(OVA)
ユージアル,美少女戦士セーラームーンS
ロリタ・プリド,快傑ゾロ
玉三郎,セイバーマリオネットJ
西園寺まりい,究極超人あ～る(OVA)
ペロペロ,おまえうまそうだな(劇場版)
高中由唯,メガゾーン23
ヒギンズ・サス,ブレンパワード
ユング・フロイト,トップをねらえ!
ベリン・アジェリ,花の詩女ゴティックメード
