伊吹翼,アイドルマスターミリオンライブ!
西山芹奈,三者三葉
ソフィア・メルテザッカー,聖剣使いの禁呪詠唱
アイセア・マイゼ・ヴァルガリス,終末なにしてますか?忙しいですか?救ってもらっていいですか?
岬あやね,キラキラ☆プリキュアアラモード
トウカイテイオー,ウマ娘プリティーダービー
