藤田浩之,ToHeart
アオベエ,おじゃる丸
田中先生,めだかの学校
ザフィーラ,魔法少女リリカルなのはシリーズ
高町士郎,魔法少女リリカルなのはシリーズ
オーベルベンド,アンリミテッド:サガ
月村幹彦,薔薇ノ木ニ薔薇ノ花咲ク
手塚義光,シークレットゲーム
グレイファス,獣戦士ガルキーバ
近藤真茶彦,すごいよ!!マサルさん
鳳・ラフィーネ,B'T-X
東郷毅,大帝国
源泉,咎狗の血
ラオウ,DD北斗の拳
国分寺楓,血染めの花
アスラ,サムライスピリッツシリーズ
ジョン・フーン,ザ・キング・オブ・ファイターズ
立原志麻,制服の王子様
神野明影,相州戦神館學園八命陣
名頃鹿雄,名探偵コナン
ココロ,魔法少女俺
