春野カスミ,カスミン
ペッパー,ちっちゃな雪使いシュガー
桜井メイル,ロックマンエグゼ(アニメ)
ロゼッタ・パッセル,カレイドスター
アーフィ・ゼフィリス,スクラップド・プリンセス
ユーノ・スクライア,リリカルなのはシリーズ
高町ヴィヴィオ,リリカルなのはシリーズ
セイン,リリカルなのはシリーズ
アイ,ARIA
ヒメ社長,ARIA
アルテッサ,ふしぎ星の☆ふたご姫
荻上千佳,げんしけん
宮子,ひだまりスケッチ
六瓢,我が家のお稲荷さま。
マルチナ・クレスピ,ストライクウィッチーズ
島田美波,バカとテストと召喚獣
不死川心,真剣で私に恋しなさい!!(アニメ・ドラマCD)
巴マミ,魔法少女まどか☆マギカ
鹿目タツヤ,魔法少女まどか☆マギカ
ワルプルギスの夜,魔法少女まどか☆マギカ
公由夏美,ひぐらしのなく頃に
アルトアイネス,武装神姫
忍野扇,物語シリーズ
パープル・ソーン,アクセル・ワールド
ワスプ,ディスク・ウォーズ:アベンジャーズ
テスター・ピカイア,ピカイア!
柊木綾子,ワルキューレロマンツェ
イリーナ・アヴァロン,蒼の彼方のフォーリズム
伊集院きらり,100%パスカル先生
