ボク/ランディ・ランド,ぶぶチャチャ
テト,コロッケ!
メンチ(手の上のブタのような生き物),コロッケ!
清水薫,メジャーシリーズ
フロン,魔界戦記ディスガイア
春日野さくら,ストリートファイター
王天君,封神演義
イリア・アニーミ,テイルズオブイノセンス
ダンジョンズ&ドラゴンズ シャドーオーバーミスタラ,ルシア(エルフ)
御等幅テンコ,探偵少年カゲマン
ローナ王女,星のカービィ
フーバー,namco×CAPCOM※
