リボンちゃん,とっとこハム太郎
マリナ,ポケットモンスタークリスタル ライコウ雷の伝説
ヤマネ,ミルモでポン!シリーズ
鳴沢唯,同級生2(OVA)
八重花桜梨,ときめきメモリアル2
ミオ,おもいっきり科学アドベンチャーそーなんだ！
