幽子,悪魔くん
ミモラ,まじかる☆タルるートくん
くり子,南国少年パプワくん
六道冥子,GS美神
高槻枝織,少女革命ウテナ
ピロテース,ロードス島戦記
フィン・フィッシュ,神風怪盗ジャンヌ
イリス・シャトーブリアン,サクラ大戦
寺田あやせ,スクライド
ルーチェモン,デジモンフロンティア
上石神井蓮子,くじびきアンバランス
ペローナ,ONEPIECE
クレッシェンドトーン,スイートプリキュア
レン,空の軌跡
ルーミィ,フォーチュンクエスト
王ドラ(初代),ドラえもん
スー,グランディア
メロディ・シンクレア,悠久幻想曲
シャルル,ドキドキ!プリキュア
ミルキーパイ,アイドル雀士スーチーパイ
リン・ラッセル,ハロー!レディリン
ウインビー,ツインビー
森下りえ,ゆみみみっくす
黒デルモ指揮官,AIKa
