モンキー・D・ガープ,ONEPIECE
ドク,HELLSING
岡崎直幸,CLANNAD
テクス・ファーゼンバーグ,機動新世紀ガンダムX
明堂院厳太郎,ハートキャッチプリキュア
ワンチェン,ジョジョの奇妙な冒険
初代メルク,トリコ
磯端善治,それでも町は廻っている
ムッターマ・ズガン,機動戦士Vガンダム
ヴィザ,ワールドトリガー
野牛金鉄,忍たま乱太郎
マイセン,ファイアーエムブレムEchoes
ガラフ,DFFOO※
"",""
"",""
