柴門たまき,下級生2
ヘルガ,ファンタジックチルドレン
ティナ,ファンタジックチルドレン
柿崎めぐ,ローゼンメイデン
フランドル,怪物王女
公孫賛/白蓮,恋姫†無双
イザベラ,フィニアスとファーブ
蒔子=グレゴリー,変ゼミ
西園美魚,リトルバスターズ!(アニメ2期)
速水凛香,暗殺教室(TVアニメ)
賈詡文和,一騎当千
橘天衣,真剣で私に恋しなさい!!
