近藤繭佳,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!
ファルン,コンセプション ～俺の子供を産んでくれ！～
五条院巴,D.C.III ～ダ・カーポIII～
夏芽マリオ,輪るピングドラム
ファルセット,スタプラ!
グレンダさん,ロボットガールズZ
空木言子,絶対絶望少女
リリ・レヴィナス,旋光の輪舞2※
池谷嵐,にゃんこデイズ
コマ,うちのタマ知りませんか?
ラーントルク・イツリ・ヒストリア,終末なにしてますか?忙しいですか?救ってもらっていいですか?
