牧紳一,スラムダンク
スポポビッチ,ドラゴンボールZ・ドラゴンボール改
黒岩激,勇者指令ダグオン
ゴルディーマーグ,勇者王ガオガイガー
オーガモン,デジモンアドベンチャー
ムゲンドラモン,デジモンアドベンチャー
クロオビ※奥のキャラクター。,ONEPIECE
西郷特盛,銀魂
ユベル,遊☆戯☆王デュエルモンスターズGX
アーサー・グッドマン,機動戦士ガンダムOO
キラービー,NARUTO
ワルブッター,スマイルプリキュア!
アイガイオン※奥の青髪キャラクター。,聖闘士星矢Ω
ライデン(ビッグ・ベア),アニメ版餓狼伝説シリーズ
烏養繋心（2代目）,ハイキュー!!＊1
火麻激＊２,勇者王ガオガイガー
ヤッサバ・ジン,OVERMANキングゲイナー
グレイブ,キラキラ☆プリキュアアラモード
ピリナ,ドラゴンボール超
