白石果鈴,北へ。Diamond Dust
リコ,みなみけ
朴朔子,青の祓魔師
本田千鶴,ぼくらの
ジュエリーナ,ジュエルペットてぃんくる☆
サキ王女,レベルE
妃宮千早,乙女はお姉さまに恋してる 2人のエルダー(PSP版)
シスターウィルマ,聖痕のクェイサー
"",""
