緑川蘭子,エースをねらえ!
カマリア・レイ(画像右),機動戦士ガンダム(テレビ版)
望月ゆめ,Go!プリンセスプリキュア
巴輝子,柔道讃歌
マレフィセント,眠れる森の美女
"",""
