P子,荒川アンダーザブリッジ
エレナ・ピープルズ,エウレカセブンAO
パンサーカメレオン,けものフレンズ
メガン・ダヴァン,咲-Saki-
アンジェラ･ジョンソン,聖剣使いの禁呪詠唱
三葉ムツミ,生徒会役員共
マカ=アルバーン,ソウルイーター
嵐山歩鳥,それでも町は廻っている
佐々マリア,だぶるじぇい
森園生,長門有希ちゃんの消失
上賀茂潤,夏のあらし!
鶴来民子,花咲くいろは
なずな,ひだまりスケッチ
谷崎ナオミ,文豪ストレイドックス
椎名桜子,劇場版 魔法先生ネギま! ANIME FINAL
遠藤マミ,モーレツ宇宙海賊
無飼,モブサイコ100
