ノーラ,ウィッチブレイド
サユリ,ケロロ軍曹※
ダラミ,爆球Hit!クラッシュビーダマン
ミハサ（二代目）,古代王者恐竜キングDキッズ・アドベンチャー翼竜伝説
狩魔冥,逆転裁判シリーズ(アニメ版)
